time(seconds)	aggragete Attack(Mbps)
0.2926726969779152	20
0.9515108518886531	40
0.9936063988640058	60
1.1868132565105847	80
1.2348996175672757	100
1.3517737644990684	120
1.6333816501194955	140
1.9677589146818624	160
2.0803077816023383	180
3.0747210280457766	200
3.1377430293275763	220
3.9714951140869474	240
5.6635267242417395	260
5.956575912835965	280
6.0301835337819	300
6.509098487271699	320
7.233908459602408	340
7.522842997791842	360
8.345916910661948	380
8.704731842271118	400
8.840571238707252	420
8.919496410409447	440
8.932761794859237	460
9.06223225264947	480
9.307438395682391	500
9.748482821077268	520
9.857924442717612	540
10.819236173348678	560
10.848513807358026	580
11.201509240740714	600
11.219645254921062	620
11.833411149652688	640
12.266411769247705	660
12.28067287333374	680
13.422329976239313	700
13.669308469687893	720
13.689037417991257	740
14.075600535096958	760
14.717563990241679	780
14.787806949942725	800
15.562598953772238	820
16.045456404349817	840
16.125133000214085	860
16.464335737170533	880
16.477895202630723	900
17.124127922864076	920
17.438660727089104	940
17.926915998575005	960
18.016169530611798	980
18.432048293673034	1000
18.479898276726345	1020
18.600874791977162	1040
19.126420442755503	1060
19.16849046986408	1080
19.33311980726044	1100
19.496081170320824	1120
19.609984886902396	1140
19.718318806795693	1160
20.0636203230913	1180
20.306825026030623	1200
20.426364838795177	1220
20.470091255359954	1240
20.66898062464357	1260
21.1983366699901	1280
21.340208356807924	1300
21.406547646532193	1320
21.688678299551576	1340
21.738836138172985	1360
22.69984101465116	1380
23.008476014795942	1400
23.56835564135174	1420
23.8497770592463	1440
24.704993564638986	1460
25.020043465475897	1480
25.056393416967957	1500
25.156055512039494	1520
25.25140590338974	1540
25.317893602861083	1560
25.545010164913563	1580
26.053605168966406	1600
26.247368187671995	1620
26.463866248578533	1640
26.46454441256468	1660
26.467263836800722	1680
26.810640151128656	1700
27.19977911349265	1720
27.854030915980367	1740
27.961666315045125	1760
29.014812316754508	1780
29.20683362186353	1800
29.505916205146555	1820
30.10789310401209	1840
30.451617258498338	1860
30.66054914953001	1880
30.811955801762565	1900
31.36631305043558	1920
32.164946861352334	1940
32.69930306040524	1960
32.71389603905307	1980
32.95843415958688	2000
33.68483326543078	2000
33.95171549485356	2000
34.01944119851842	2000
34.90506199248498	2000
34.991811894809786	2000
35.608043563861685	2000
35.850966666774774	2000
36.35006170721497	2000
36.53397324735754	2000
36.86939145062213	2000
36.98061849551946	2000
37.40208908900702	2000
37.40292596455968	2000
37.68689458743242	2000
37.789820271023025	2000
38.060504376912576	2000
38.636208299152806	2000
39.58972367492795	2000
40.23132770919415	2000
40.31234638628796	2000
42.60104774051887	2000
42.70036759907934	2000
43.09452160035224	2000
43.28375473227331	2000
43.32246330962238	2000
43.39503672482032	2000
45.116077646808456	2000
45.40653770915757	2000
46.16655917239626	2000
46.41683795527907	2000
46.52017473045883	2000
46.522807772671946	2000
46.948934983845454	2000
47.37519477989457	2000
47.83309816596118	2000
48.19608737031477	2000
48.43233718486137	2000
48.86573021302829	2000
49.24742724159793	2000
49.250689009241135	2000
50.00142963957697	2000
50.977636271111045	2000
51.042175412836315	2000
51.21648336471199	2000
51.53867344732585	2000
52.40924427186034	2000
53.09858810380679	2000
53.12343738690403	2000
53.33673968410317	2000
53.79331044045548	2000
54.399128165926214	2000
54.402801946894456	2000
54.52804996461527	2000
54.55839243007126	2000
54.64030011347953	2000
54.9574950780749	2000
55.077145279211315	2000
55.260652140609324	2000
55.942579243542305	2000
56.65017342435612	2000
57.06429588824298	2000
57.85987735698996	2000
57.93727494295335	2000
58.073864258640825	2000
58.079037387776445	2000
58.11205882632121	2000
58.29285956550489	2000
58.34004756541145	2000
59.243246088094246	2000
59.40934112498323	2000
59.69304956340685	2000
60.101661833239234	2000
60.65368991813743	2000
60.883537789366784	2000
61.039118348027166	2000
61.50366946661555	2000
61.70492565618535	2000
62.11236174651776	2000
62.717654604530765	2000
62.81292763948332	2000
63.3064993293505	2000
63.371474050517335	2000
63.61967835953194	2000
63.98014378606322	2000
64.02223116728261	2000
64.22281492593342	2000
64.66430134191057	2000
65.04457953783646	2000
65.36531441020512	2000
65.79729656568486	2000
66.68295821407239	2000
67.03062211689645	2000
67.76762353436206	2000
68.53128560113603	2000
68.65148146898835	2000
69.43196621318481	2000
69.87766791743637	2000
70.08119955379658	2000
70.1255121740396	2000
70.4391165451188	2000
70.4894689200735	2000
70.72157261958223	2000
70.8965531761173	2000
71.54805609608171	2000
