time(seconds)	aggragete Attack(Mbps)
0.5153222869568814	20
0.8199972221312359	40
1.2404880738357096	60
1.6060808860160973	80
1.8662522919135818	100
1.9102607315872429	120
3.0414353735587616	140
3.7112256815971847	160
4.156970101380987	180
4.326162361436593	200
5.739687845747127	220
5.989061746782515	240
6.032117342142428	260
6.163777084451112	280
6.477418531867346	300
6.721162811538276	320
7.525972915490337	340
8.08054599128812	360
8.16890459758954	380
8.380256063441792	400
8.435975462105537	420
8.703657014232324	440
9.149779217482605	460
9.760152723388748	480
9.796002006639705	500
9.870488286485893	520
11.358665101498373	540
11.907291013196357	560
12.769160535887222	580
12.778487952083424	600
13.542804200883008	620
14.100598643196944	640
14.376927103353681	660
14.436826105317428	680
15.350135427314356	700
16.15391892099135	720
16.217317754604824	740
16.217786528296806	760
16.292047650817814	780
16.561398547631896	800
16.695792655842467	820
17.41683646297214	840
17.44992343999307	860
18.22112964900952	880
18.448646174375384	900
19.026527335792668	920
19.25336017195547	940
19.332784663201362	960
19.495704682331077	980
19.50589174537141	1000
19.883876246586606	1020
20.13996088475575	1040
20.51793784957177	1060
21.083018670822273	1080
21.4989531282256	1100
21.540219659346185	1120
21.7676539395094	1140
22.200270378072247	1160
22.21159399195883	1180
22.516716264702538	1200
22.95576927451707	1220
23.15127142376342	1240
23.485897263787834	1260
23.48963366293195	1280
23.684367313219415	1300
23.727238978689144	1320
24.11534626620515	1340
24.140535290867632	1360
24.16753085608846	1380
24.397077150833542	1400
25.41923034720591	1420
25.58748285267692	1440
25.636614517343396	1460
26.205807630844028	1480
26.778848193054426	1500
27.152068567472185	1520
27.644850814712747	1540
27.863267932190492	1560
28.507998903199663	1580
29.196429669623086	1600
29.796180511303255	1620
30.458000325028905	1640
31.184428225538905	1660
31.577024686124382	1680
31.693296021637522	1700
31.96428654399776	1720
32.17837330574093	1740
32.20839361236356	1760
32.54548684303009	1780
32.883544478704785	1800
32.97793780114918	1820
33.150179071025185	1840
33.61393686831714	1860
33.94485928541145	1880
34.6827756079135	1900
34.83894551567727	1920
35.619980236672106	1940
35.67591506797747	1960
36.23347172597533	1980
37.581303092509344	2000
37.60269014746735	2000
37.677307946320965	2000
37.91089160659052	2000
38.190966985892544	2000
38.52268610066999	2000
38.95883553668797	2000
39.43150575158504	2000
39.460192378222374	2000
39.61069037269921	2000
39.83629761595698	2000
39.90526588601956	2000
39.95572165516884	2000
40.070191275885605	2000
40.184344797163384	2000
40.721742192335576	2000
40.74794452899436	2000
40.91928902722775	2000
41.242037340470795	2000
41.29513437844963	2000
42.06531172446355	2000
42.404610248760186	2000
42.81275836033705	2000
43.35752954661751	2000
44.37415561556048	2000
44.40955944145187	2000
44.5508538626104	2000
44.771350929841276	2000
44.9186966007572	2000
45.25045180757318	2000
45.32142825826265	2000
45.669033500187666	2000
47.14808576685079	2000
47.24782536033439	2000
47.49534937705906	2000
47.594362439514256	2000
47.989087733342274	2000
48.13076537292574	2000
48.37623437590042	2000
48.539825827963256	2000
49.37212588352924	2000
49.70631113572597	2000
49.93477228653666	2000
50.119990967734005	2000
50.991394703898195	2000
51.22753341782385	2000
51.29847738916794	2000
51.73396533312249	2000
53.00027276249107	2000
53.1428375126606	2000
53.15448797437191	2000
53.38554244399353	2000
53.515268052444725	2000
54.51598074925344	2000
54.70937772985081	2000
55.03844972752048	2000
55.06141067629881	2000
55.18671608387063	2000
55.523196455758544	2000
55.604464272597056	2000
56.04429621228382	2000
56.41252259991288	2000
56.43460056561222	2000
56.442395813219804	2000
56.66913930233974	2000
56.81233002825493	2000
56.9657660162099	2000
58.06896808629159	2000
58.20539784843747	2000
58.652221215742905	2000
58.81814902468677	2000
59.430138861174086	2000
