Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
COMPREHENSIVE,100,1.00E-04,1000000,0,3.55
COMPREHENSIVE,100,1.00E-04,1000000,0,4.75
COMPREHENSIVE,100,1.00E-04,1000000,0,3.8
COMPREHENSIVE,100,1.00E-04,1000000,0,3.89
COMPREHENSIVE,100,1.00E-04,1000000,0,3.83
COMPREHENSIVE,100,1.00E-04,2000000,0,3.32
COMPREHENSIVE,100,1.00E-04,2000000,0,3.86
COMPREHENSIVE,100,1.00E-04,2000000,0,3.23
COMPREHENSIVE,100,1.00E-04,2000000,0,4.03
COMPREHENSIVE,100,1.00E-04,2000000,0,4.61
COMPREHENSIVE,100,1.00E-04,3000000,0,3.71
COMPREHENSIVE,100,1.00E-04,3000000,0,3.76
COMPREHENSIVE,100,1.00E-04,3000000,0,3.84
COMPREHENSIVE,100,1.00E-04,3000000,0,3.78
COMPREHENSIVE,100,1.00E-04,3000000,0,4.85
COMPREHENSIVE,500,1.00E-04,1000000,0,3.42
COMPREHENSIVE,500,1.00E-04,1000000,0,3.776
COMPREHENSIVE,500,1.00E-04,1000000,0,3.966
COMPREHENSIVE,500,1.00E-04,1000000,0,3.79
COMPREHENSIVE,500,1.00E-04,1000000,0,4.012
COMPREHENSIVE,500,1.00E-04,2000000,0,3.848
COMPREHENSIVE,500,1.00E-04,2000000,0,3.844
COMPREHENSIVE,500,1.00E-04,2000000,0,3.85
COMPREHENSIVE,500,1.00E-04,2000000,0,4.206
COMPREHENSIVE,500,1.00E-04,2000000,0,3.882
COMPREHENSIVE,500,1.00E-04,3000000,0,3.986
COMPREHENSIVE,500,1.00E-04,3000000,0,3.156
COMPREHENSIVE,500,1.00E-04,3000000,0,4.754
COMPREHENSIVE,500,1.00E-04,3000000,0,3.784
COMPREHENSIVE,500,1.00E-04,3000000,0,3.822
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.856
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.87
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.788
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.16
COMPREHENSIVE,1000,1.00E-04,1000000,0,4.408
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.111
COMPREHENSIVE,1000,1.00E-04,2000000,0,4.098
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.954
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.792
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.759
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.828
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.758
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.606
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.303
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.767
COMPREHENSIVE,1500,1.00E-04,1000000,0,5.172666667
COMPREHENSIVE,1500,1.00E-04,1000000,0,3.393333333
COMPREHENSIVE,1500,1.00E-04,1000000,0,2.932666667
COMPREHENSIVE,1500,1.00E-04,1000000,0,3.939333333
COMPREHENSIVE,1500,1.00E-04,1000000,0,4.028666667
COMPREHENSIVE,1500,1.00E-04,2000000,0,3.165333333
COMPREHENSIVE,1500,1.00E-04,2000000,0,4.064666667
COMPREHENSIVE,1500,1.00E-04,2000000,0,3.577333333
COMPREHENSIVE,1500,1.00E-04,2000000,0,4.908666667
COMPREHENSIVE,1500,1.00E-04,2000000,0,3.794666667
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.868666667
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.786
COMPREHENSIVE,1500,1.00E-04,3000000,0,4.708666667
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.918666667
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.817333333
COMPREHENSIVE,2000,1.00E-04,1000000,0,4.199
COMPREHENSIVE,2000,1.00E-04,1000000,0,3.7865
COMPREHENSIVE,2000,1.00E-04,1000000,0,3.789
COMPREHENSIVE,2000,1.00E-04,1000000,0,3.325
COMPREHENSIVE,2000,1.00E-04,1000000,0,3.778
COMPREHENSIVE,2000,1.00E-04,2000000,0,3.802
COMPREHENSIVE,2000,1.00E-04,2000000,0,4.1395
COMPREHENSIVE,2000,1.00E-04,2000000,0,5.077
COMPREHENSIVE,2000,1.00E-04,2000000,0,3.944
COMPREHENSIVE,2000,1.00E-04,2000000,0,3.3935
COMPREHENSIVE,2000,1.00E-04,3000000,0,3.7555
COMPREHENSIVE,2000,1.00E-04,3000000,0,4.069
COMPREHENSIVE,2000,1.00E-04,3000000,0,3.596
COMPREHENSIVE,2000,1.00E-04,3000000,0,4.1575
COMPREHENSIVE,2000,1.00E-04,3000000,0,4.0465
COMPREHENSIVE,100,0.001,1000000,0,3.89
COMPREHENSIVE,100,0.001,1000000,0,3.79
COMPREHENSIVE,100,0.001,1000000,0,3.67
COMPREHENSIVE,100,0.001,1000000,0,4.73
COMPREHENSIVE,100,0.001,1000000,0,3.56
COMPREHENSIVE,100,0.001,2000000,0,3.97
COMPREHENSIVE,100,0.001,2000000,0,3.3
COMPREHENSIVE,100,0.001,2000000,0,4.15
COMPREHENSIVE,100,0.001,2000000,0,3.25
COMPREHENSIVE,100,0.001,2000000,0,3.15
COMPREHENSIVE,100,0.001,3000000,0,3.24
COMPREHENSIVE,100,0.001,3000000,0,3.66
COMPREHENSIVE,100,0.001,3000000,0,3.79
COMPREHENSIVE,100,0.001,3000000,0,3.59
COMPREHENSIVE,100,0.001,3000000,0,3.84
COMPREHENSIVE,500,0.001,1000000,0,3.816
COMPREHENSIVE,500,0.001,1000000,0,4.356
COMPREHENSIVE,500,0.001,1000000,0,3.812
COMPREHENSIVE,500,0.001,1000000,0,4.586
COMPREHENSIVE,500,0.001,1000000,0,4.208
COMPREHENSIVE,500,0.001,2000000,0,3.274
COMPREHENSIVE,500,0.001,2000000,0,3.794
COMPREHENSIVE,500,0.001,2000000,0,3.814
COMPREHENSIVE,500,0.001,2000000,1,3.136
COMPREHENSIVE,500,0.001,2000000,0,3.798
COMPREHENSIVE,500,0.001,3000000,0,3.798
COMPREHENSIVE,500,0.001,3000000,1,3.194
COMPREHENSIVE,500,0.001,3000000,0,3.888
COMPREHENSIVE,500,0.001,3000000,0,3.818
COMPREHENSIVE,500,0.001,3000000,0,4.208
COMPREHENSIVE,1000,0.001,1000000,0,3.882
COMPREHENSIVE,1000,0.001,1000000,0,3.931
COMPREHENSIVE,1000,0.001,1000000,0,3.821
COMPREHENSIVE,1000,0.001,1000000,0,3.774
COMPREHENSIVE,1000,0.001,1000000,0,3.798
COMPREHENSIVE,1000,0.001,2000000,0,4.182
COMPREHENSIVE,1000,0.001,2000000,0,3.152
COMPREHENSIVE,1000,0.001,2000000,0,3.841
COMPREHENSIVE,1000,0.001,2000000,0,4.043
COMPREHENSIVE,1000,0.001,2000000,0,3.89
COMPREHENSIVE,1000,0.001,3000000,0,3.799
COMPREHENSIVE,1000,0.001,3000000,0,4.07
COMPREHENSIVE,1000,0.001,3000000,0,3.787
COMPREHENSIVE,1000,0.001,3000000,0,3.217
COMPREHENSIVE,1000,0.001,3000000,0,3.779
COMPREHENSIVE,1500,0.001,1000000,0,3.836
