Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
PERIODIC,100,1.00E-04,1000000,8957,3.99
PERIODIC,100,1.00E-04,1000000,1020,4.53
PERIODIC,100,1.00E-04,1000000,5962,4.07
PERIODIC,100,1.00E-04,1000000,3659,3.8
PERIODIC,100,1.00E-04,1000000,1014,3.94
PERIODIC,100,1.00E-04,1000000,8219,3.29
PERIODIC,100,1.00E-04,1000000,2981,3.22
PERIODIC,100,1.00E-04,1000000,7490,3.86
PERIODIC,100,1.00E-04,1000000,7023,3.45
PERIODIC,100,1.00E-04,1000000,4772,3.76
PERIODIC,100,1.00E-04,2000000,5727,4.01
PERIODIC,100,1.00E-04,2000000,1942,4.62
PERIODIC,100,1.00E-04,2000000,18052,3.7
PERIODIC,100,1.00E-04,2000000,13859,4.11
PERIODIC,100,1.00E-04,2000000,14280,3.87
PERIODIC,100,1.00E-04,2000000,9406,3.76
PERIODIC,100,1.00E-04,2000000,5870,3.69
PERIODIC,100,1.00E-04,2000000,5646,4.24
PERIODIC,100,1.00E-04,2000000,16634,3.48
PERIODIC,100,1.00E-04,2000000,9301,3.91
PERIODIC,100,1.00E-04,3000000,14423,3.85
PERIODIC,100,1.00E-04,3000000,18857,3.87
PERIODIC,100,1.00E-04,3000000,35114,3.14
PERIODIC,100,1.00E-04,3000000,8382,4.84
PERIODIC,100,1.00E-04,3000000,3487,4.3
PERIODIC,100,1.00E-04,3000000,11740,3.28
PERIODIC,100,1.00E-04,3000000,15936,3.73
PERIODIC,100,1.00E-04,3000000,16697,3.83
PERIODIC,100,1.00E-04,3000000,29617,4.14
PERIODIC,100,1.00E-04,3000000,17713,3.7
PERIODIC,500,1.00E-04,1000000,5866,3.82
PERIODIC,500,1.00E-04,1000000,4576,3.994
PERIODIC,500,1.00E-04,1000000,3562,4.182
PERIODIC,500,1.00E-04,1000000,2948,3.772
PERIODIC,500,1.00E-04,1000000,3350,4.484
PERIODIC,500,1.00E-04,1000000,6043,3.76
PERIODIC,500,1.00E-04,1000000,5118,3.824
PERIODIC,500,1.00E-04,1000000,3070,4.882
PERIODIC,500,1.00E-04,1000000,3873,3.812
PERIODIC,500,1.00E-04,1000000,1842,3.764
PERIODIC,500,1.00E-04,2000000,2049,3.786
PERIODIC,500,1.00E-04,2000000,19471,4.228
PERIODIC,500,1.00E-04,2000000,14831,3.88
PERIODIC,500,1.00E-04,2000000,19836,3.428
PERIODIC,500,1.00E-04,2000000,5643,4.216
PERIODIC,500,1.00E-04,2000000,3900,3.798
PERIODIC,500,1.00E-04,2000000,8966,4.18
PERIODIC,500,1.00E-04,2000000,8629,3.814
PERIODIC,500,1.00E-04,2000000,11469,3.78
PERIODIC,500,1.00E-04,2000000,10284,3.178
PERIODIC,500,1.00E-04,3000000,16424,3.814
PERIODIC,500,1.00E-04,3000000,19608,3.792
PERIODIC,500,1.00E-04,3000000,25621,3.406
PERIODIC,500,1.00E-04,3000000,27304,4.202
PERIODIC,500,1.00E-04,3000000,16330,3.786
PERIODIC,500,1.00E-04,3000000,9790,4.106
