time(seconds)	aggregate Attack(Mbps)
0.0	0.0
0.1	319.0
0.2	311.0
0.30000000000000004	345.0
0.4	360.0
0.5	341.0
0.6	326.0
0.7	341.0
0.7999999999999999	341.0
0.8999999999999999	345.0
0.9999999999999999	316.0
1.0999999999999999	336.0
1.2	370.0
1.3	321.0
1.4000000000000001	381.0
1.5000000000000002	328.99999999999994
1.6000000000000003	326.0
1.7000000000000004	294.0
1.8000000000000005	328.99999999999994
1.9000000000000006	350.0
2.0000000000000004	343.0
2.1000000000000005	337.0
2.2000000000000006	358.0
2.3000000000000007	320.0
2.400000000000001	330.0
2.500000000000001	353.99999999999994
2.600000000000001	320.0
2.700000000000001	326.0
2.800000000000001	331.0
2.9000000000000012	332.0
3.0000000000000013	346.0
3.1000000000000014	366.0
3.2000000000000015	367.0
3.3000000000000016	308.0
3.4000000000000017	356.0
3.5000000000000018	327.0
3.600000000000002	328.0
3.700000000000002	342.0
3.800000000000002	303.0
3.900000000000002	328.0
4.000000000000002	331.0
4.100000000000001	327.0
4.200000000000001	357.0
4.300000000000001	351.0
4.4	336.0
4.5	321.0
4.6	307.0
4.699999999999999	360.0
4.799999999999999	320.0
4.899999999999999	300.0
4.999999999999998	311.0
5.099999999999998	309.0
5.1999999999999975	368.0
5.299999999999997	348.0
5.399999999999997	342.0
5.4999999999999964	352.0
5.599999999999996	340.0
5.699999999999996	343.0
5.799999999999995	312.0
5.899999999999995	353.0
5.999999999999995	348.0
6.099999999999994	350.0
6.199999999999994	317.0
6.299999999999994	309.0
6.399999999999993	358.99999999999994
6.499999999999993	355.0
6.5999999999999925	325.0
6.699999999999992	358.99999999999994
6.799999999999992	343.0
6.8999999999999915	363.99999999999994
6.999999999999991	314.0
7.099999999999991	333.0
7.19999999999999	316.0
7.29999999999999	378.99999999999994
7.39999999999999	301.0
7.499999999999989	312.0
7.599999999999989	328.99999999999994
7.699999999999989	336.0
7.799999999999988	317.0
7.899999999999988	337.0
7.999999999999988	328.99999999999994
8.099999999999987	305.0
8.199999999999987	355.0
8.299999999999986	341.0
8.399999999999986	305.0
8.499999999999986	338.0
8.599999999999985	330.0
8.699999999999985	347.0
8.799999999999985	314.0
8.899999999999984	297.0
8.999999999999984	296.0
9.099999999999984	309.0
9.199999999999983	333.0
9.299999999999983	316.0
9.399999999999983	312.0
9.499999999999982	341.0
9.599999999999982	338.99999999999994
9.699999999999982	299.0
9.799999999999981	367.0
9.89999999999998	328.0
9.99999999999998	337.0
10.09999999999998	322.0
10.19999999999998	341.0
10.29999999999998	332.0
