Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
PERIODIC,1500,1.00E-04,2000000,7317,4.947333333
PERIODIC,1500,1.00E-04,2000000,3705,3.834
PERIODIC,1500,1.00E-04,2000000,4027,3.842
PERIODIC,1500,1.00E-04,2000000,9487,3.837333333
PERIODIC,1500,1.00E-04,2000000,11241,3.781333333
PERIODIC,1500,1.00E-04,2000000,13283,3.541333333
PERIODIC,1500,1.00E-04,2000000,10201,4.174
PERIODIC,1500,1.00E-04,2000000,10657,4.178
PERIODIC,1500,1.00E-04,2000000,8140,3.77
PERIODIC,1500,1.00E-04,2000000,8110,4.858
PERIODIC,1500,1.00E-04,3000000,10928,3.455333333
PERIODIC,1500,1.00E-04,3000000,12931,3.816666667
PERIODIC,1500,1.00E-04,3000000,22322,3.286666667
PERIODIC,1500,1.00E-04,3000000,15474,3.229333333
PERIODIC,1500,1.00E-04,3000000,22330,3.798666667
PERIODIC,1500,1.00E-04,3000000,2980,3.774
PERIODIC,1500,1.00E-04,3000000,28820,3.892
PERIODIC,1500,1.00E-04,3000000,7145,3.801333333
PERIODIC,1500,1.00E-04,3000000,18440,3.783333333
PERIODIC,1500,1.00E-04,3000000,16819,3.133333333
PERIODIC,2000,1.00E-04,1000000,6354,4.2015
PERIODIC,2000,1.00E-04,1000000,5432,3.9635
PERIODIC,2000,1.00E-04,1000000,1974,3.7895
PERIODIC,2000,1.00E-04,1000000,9363,3.1045
PERIODIC,2000,1.00E-04,1000000,4525,3.8065
PERIODIC,2000,1.00E-04,1000000,7189,4.179
PERIODIC,2000,1.00E-04,1000000,2730,3.8005
PERIODIC,2000,1.00E-04,1000000,10578,3.773
PERIODIC,2000,1.00E-04,1000000,5675,3.7935
PERIODIC,2000,1.00E-04,1000000,2686,3.795
PERIODIC,2000,1.00E-04,2000000,15740,3.54
PERIODIC,2000,1.00E-04,2000000,4494,3.603
PERIODIC,2000,1.00E-04,2000000,14126,3.805
PERIODIC,2000,1.00E-04,2000000,16163,3.8085
PERIODIC,2000,1.00E-04,2000000,7407,4.106
PERIODIC,2000,1.00E-04,2000000,3722,3.7785
PERIODIC,2000,1.00E-04,2000000,2009,3.784
PERIODIC,2000,1.00E-04,2000000,11609,4.2055
PERIODIC,2000,1.00E-04,2000000,2071,3.814
PERIODIC,2000,1.00E-04,2000000,5805,3.7955
PERIODIC,2000,1.00E-04,3000000,16863,3.8205
PERIODIC,2000,1.00E-04,3000000,15788,3.7705
PERIODIC,2000,1.00E-04,3000000,3019,3.808
PERIODIC,2000,1.00E-04,3000000,6885,3.948
PERIODIC,2000,1.00E-04,3000000,11248,3.787
PERIODIC,2000,1.00E-04,3000000,8747,3.323
PERIODIC,2000,1.00E-04,3000000,20891,3.799
PERIODIC,2000,1.00E-04,3000000,8554,5.7385
PERIODIC,2000,1.00E-04,3000000,18275,4.0175
PERIODIC,2000,1.00E-04,3000000,8909,3.902
PERIODIC,100,0.001,1000000,3449,3.72
PERIODIC,100,0.001,1000000,4684,3.87
PERIODIC,100,0.001,1000000,2854,4.61
PERIODIC,100,0.001,1000000,4311,3.35
PERIODIC,100,0.001,1000000,1907,3.82
PERIODIC,100,0.001,1000000,7937,3.17
PERIODIC,100,0.001,1000000,1272,4.23
PERIODIC,100,0.001,1000000,9293,3.84
PERIODIC,100,0.001,1000000,5483,3.75
PERIODIC,100,0.001,1000000,3044,4.15
PERIODIC,100,0.001,2000000,4150,3.87
PERIODIC,100,0.001,2000000,15389,3.81
PERIODIC,100,0.001,2000000,7070,3.64
PERIODIC,100,0.001,2000000,12970,3.51
PERIODIC,100,0.001,2000000,4033,3.76
PERIODIC,100,0.001,2000000,2078,3.82
PERIODIC,100,0.001,2000000,9253,3.77
PERIODIC,100,0.001,2000000,8959,3.78
PERIODIC,100,0.001,2000000,10627,3.77
PERIODIC,100,0.001,2000000,14498,3.86
PERIODIC,100,0.001,3000000,26200,3.78
PERIODIC,100,0.001,3000000,12414,3.85
PERIODIC,100,0.001,3000000,19859,5.09
PERIODIC,100,0.001,3000000,15247,3.98
PERIODIC,100,0.001,3000000,7680,4.16
PERIODIC,100,0.001,3000000,3082,3.83
PERIODIC,100,0.001,3000000,20620,3.85
PERIODIC,100,0.001,3000000,21685,3.54
PERIODIC,100,0.001,3000000,19948,4.05
PERIODIC,100,0.001,3000000,17385,3.82
PERIODIC,500,0.001,1000000,9354,3.46
PERIODIC,500,0.001,1000000,4373,3.86
PERIODIC,500,0.001,1000000,2581,3.788
PERIODIC,500,0.001,1000000,4226,4.172
PERIODIC,500,0.001,1000000,3409,3.772
PERIODIC,500,0.001,1000000,1902,3.796
PERIODIC,500,0.001,1000000,1039,4.024
PERIODIC,500,0.001,1000000,2021,3.79
PERIODIC,500,0.001,1000000,4063,4.474
PERIODIC,500,0.001,1000000,4860,3.414
PERIODIC,500,0.001,2000000,11510,3.78
PERIODIC,500,0.001,2000000,5714,4.07
PERIODIC,500,0.001,2000000,11586,3.802
PERIODIC,500,0.001,2000000,8797,4.168
PERIODIC,500,0.001,2000000,4072,6.16
PERIODIC,500,0.001,2000000,10767,3.55
PERIODIC,500,0.001,2000000,11956,3.8
PERIODIC,500,0.001,2000000,9294,3.786
PERIODIC,500,0.001,2000000,15369,3.43
PERIODIC,500,0.001,2000000,7640,4.2
PERIODIC,500,0.001,3000000,5456,3.838
PERIODIC,500,0.001,3000000,10664,3.798
PERIODIC,500,0.001,3000000,5894,4.202
PERIODIC,500,0.001,3000000,5908,4.046
PERIODIC,500,0.001,3000000,28236,3.788
PERIODIC,500,0.001,3000000,17566,4.09
PERIODIC,500,0.001,3000000,14738,3.826
PERIODIC,500,0.001,3000000,10706,4.19
PERIODIC,500,0.001,3000000,34568,2.996
PERIODIC,500,0.001,3000000,5657,3.792
PERIODIC,1000,0.001,1000000,10778,4.188
PERIODIC,1000,0.001,1000000,5734,3.949
PERIODIC,1000,0.001,1000000,10671,3.805
PERIODIC,1000,0.001,1000000,3788,3.981
PERIODIC,1000,0.001,1000000,4908,4.147
PERIODIC,1000,0.001,1000000,3672,3.799
PERIODIC,1000,0.001,1000000,5184,3.782
PERIODIC,1000,0.001,1000000,7185,3.991
PERIODIC,1000,0.001,1000000,5486,4.194
PERIODIC,1000,0.001,1000000,1030,6.408
PERIODIC,1000,0.001,2000000,5085,3.685
PERIODIC,1000,0.001,2000000,8756,3.759
PERIODIC,1000,0.001,2000000,7235,4.888
PERIODIC,1000,0.001,2000000,2024,3.79
PERIODIC,1000,0.001,2000000,10499,4.706
PERIODIC,1000,0.001,2000000,14815,3.802
PERIODIC,1000,0.001,2000000,3630,3.218
PERIODIC,1000,0.001,2000000,12715,3.409
PERIODIC,1000,0.001,2000000,12084,3.79
PERIODIC,1000,0.001,2000000,13739,4.095
PERIODIC,1000,0.001,3000000,26653,3.913
PERIODIC,1000,0.001,3000000,15411,3.853
PERIODIC,1000,0.001,3000000,11321,3.82
PERIODIC,1000,0.001,3000000,23314,3.816
PERIODIC,1000,0.001,3000000,11509,3.928
PERIODIC,1000,0.001,3000000,10255,4.052
PERIODIC,1000,0.001,3000000,28963,4.185
PERIODIC,1000,0.001,3000000,2895,3.873
PERIODIC,1000,0.001,3000000,11492,4.979
PERIODIC,1000,0.001,3000000,17696,3.376
PERIODIC,1500,0.001,1000000,7917,3.438666667
PERIODIC,1500,0.001,1000000,6033,3.864666667
PERIODIC,1500,0.001,1000000,6075,3.794666667
PERIODIC,1500,0.001,1000000,2045,3.378
PERIODIC,1500,0.001,1000000,6650,3.790666667
PERIODIC,1500,0.001,1000000,2854,4.186666667
PERIODIC,1500,0.001,1000000,6992,3.8
PERIODIC,1500,0.001,1000000,1980,3.800666667
PERIODIC,1500,0.001,1000000,6560,3.778
PERIODIC,1500,0.001,1000000,3809,3.23
PERIODIC,1500,0.001,2000000,15604,3.802666667
PERIODIC,1500,0.001,2000000,4014,4.098
PERIODIC,1500,0.001,2000000,11525,3.594666667
PERIODIC,1500,0.001,2000000,5634,3.82
PERIODIC,1500,0.001,2000000,2043,4.102
PERIODIC,1500,0.001,2000000,15525,3.860666667
PERIODIC,1500,0.001,2000000,21436,3.409333333
PERIODIC,1500,0.001,2000000,16886,3.292666667
PERIODIC,1500,0.001,2000000,10885,3.254666667
PERIODIC,1500,0.001,2000000,9697,3.866
PERIODIC,1500,0.001,3000000,8826,4.176666667
PERIODIC,1500,0.001,3000000,3061,4.232
PERIODIC,1500,0.001,3000000,11401,4.232666667
PERIODIC,1500,0.001,3000000,25214,3.802
PERIODIC,1500,0.001,3000000,15330,3.576
PERIODIC,1500,0.001,3000000,5253,4.088
PERIODIC,1500,0.001,3000000,10975,3.904
PERIODIC,1500,0.001,3000000,3095,5.398666667
PERIODIC,1500,0.001,3000000,5669,3.874666667
PERIODIC,1500,0.001,3000000,10302,4.934666667
PERIODIC,2000,0.001,1000000,6573,3.4335
PERIODIC,2000,0.001,1000000,9773,3.2915
PERIODIC,2000,0.001,1000000,4256,3.8845
PERIODIC,2000,0.001,1000000,4219,3.789
PERIODIC,2000,0.001,1000000,5088,3.922
PERIODIC,2000,0.001,1000000,6356,3.793
PERIODIC,2000,0.001,1000000,3531,3.7805
PERIODIC,2000,0.001,1000000,4631,4.1725
PERIODIC,2000,0.001,1000000,7239,3.4605
PERIODIC,2000,0.001,1000000,3564,3.868
PERIODIC,2000,0.001,2000000,2075,3.7895
PERIODIC,2000,0.001,2000000,4157,3.202
PERIODIC,2000,0.001,2000000,8433,3.1905
PERIODIC,2000,0.001,2000000,13490,3.7945
PERIODIC,2000,0.001,2000000,18163,3.783
PERIODIC,2000,0.001,2000000,4024,3.789
PERIODIC,2000,0.001,2000000,15504,3.8
PERIODIC,2000,0.001,2000000,6021,4.319
PERIODIC,2000,0.001,2000000,6813,3.3395
PERIODIC,2000,0.001,2000000,12823,3.788
PERIODIC,2000,0.001,3000000,5085,3.707
PERIODIC,2000,0.001,3000000,26557,3.8265
PERIODIC,2000,0.001,3000000,5919,4.1865
PERIODIC,2000,0.001,3000000,13467,3.2265
PERIODIC,2000,0.001,3000000,16252,3.771
PERIODIC,2000,0.001,3000000,29161,4.5565
PERIODIC,2000,0.001,3000000,16160,4.3535
PERIODIC,2000,0.001,3000000,10708,4.1865
PERIODIC,2000,0.001,3000000,10409,3.909
PERIODIC,2000,0.001,3000000,18773,4.2215
PERIODIC,100,0.01,1000000,7138,4
PERIODIC,100,0.01,1000000,7479,4.3
PERIODIC,100,0.01,1000000,7272,4.37
PERIODIC,100,0.01,1000000,2180,4.28
PERIODIC,100,0.01,1000000,6929,3.75
PERIODIC,100,0.01,1000000,7005,3.88
PERIODIC,100,0.01,1000000,3838,3.4
PERIODIC,100,0.01,1000000,2025,3.79
PERIODIC,100,0.01,1000000,5516,3.88
