Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
EVEN,100,0.01,3000000,2571878,4.15
COMPREHENSIVE,500,0.01,1000000,884117,3.814
COMPREHENSIVE,500,0.05,1000000,906690,3.806
EVEN,100,0.05,3000000,2711365,3.83
ODD,100,0.01,3000000,2717866,3.79
EVEN,500,0.001,1000000,896244,3.234
COMPREHENSIVE,500,1.0E-4,1000000,893642,3.81
COMPREHENSIVE,500,0.001,1000000,901056,4.144
COMPREHENSIVE,500,0.01,1000000,897517,3.818
EVEN,500,0.01,1000000,928568,4.21
COMPREHENSIVE,500,0.05,1000000,900633,3.8
EVEN,500,0.05,1000000,924369,3.44
ODD,500,0.01,1000000,911578,3.81
EVEN,500,0.001,1000000,930972,3.772
COMPREHENSIVE,500,1.0E-4,1000000,903691,3.982
COMPREHENSIVE,500,0.001,1000000,959290,3.33
COMPREHENSIVE,500,0.05,1000000,904459,3.804
COMPREHENSIVE,500,0.01,1000000,906304,4.01
EVEN,500,0.05,1000000,901256,3.794
EVEN,500,0.01,1000000,911286,4.184
EVEN,500,0.001,1000000,912714,3.762
ODD,500,0.01,1000000,919884,3.876
COMPREHENSIVE,500,1.0E-4,1000000,658366,3.874
COMPREHENSIVE,500,0.001,1000000,888665,3.814
COMPREHENSIVE,500,0.05,1000000,0,3.874
EVEN,500,0.01,1000000,866456,3.46
COMPREHENSIVE,500,0.01,1000000,939356,3.98
EVEN,500,0.05,1000000,751603,4.066
ODD,500,0.01,1000000,1893,3.66
EVEN,500,0.001,1000000,920287,3.762
COMPREHENSIVE,500,1.0E-4,1000000,923566,3.95
COMPREHENSIVE,500,0.001,2000000,1867748,3.822
COMPREHENSIVE,500,0.01,1000000,886355,3.844
COMPREHENSIVE,500,0.05,2000000,1876223,3.49
EVEN,500,0.05,1000000,928808,3.97
ODD,500,0.01,1000000,901674,3.778
EVEN,500,0.001,1000000,895510,3.818
EVEN,500,0.01,1000000,919612,4.32
COMPREHENSIVE,500,1.0E-4,2000000,1764792,3.996
COMPREHENSIVE,500,0.001,2000000,1904599,3.798
COMPREHENSIVE,500,0.05,2000000,1895809,3.186
EVEN,500,0.01,1000000,924807,3.788
COMPREHENSIVE,500,0.01,2000000,1805199,3.796
EVEN,500,0.05,1000000,921401,4.198
ODD,500,0.01,1000000,923586,4.86
EVEN,500,0.001,2000000,1888890,3.862
COMPREHENSIVE,500,0.001,2000000,1754022,3.804
COMPREHENSIVE,500,1.0E-4,2000000,1742594,4.488
COMPREHENSIVE,500,0.05,2000000,1827435,3.836
COMPREHENSIVE,500,0.01,2000000,1879963,3.868
ODD,500,0.01,2000000,1781635,3.614
EVEN,500,0.001,2000000,1845895,3.398
EVEN,500,0.05,2000000,1861744,4.072
EVEN,500,0.01,2000000,1866946,4.436
COMPREHENSIVE,500,0.001,2000000,1889862,3.42
COMPREHENSIVE,500,0.05,2000000,1814425,3.836
COMPREHENSIVE,500,1.0E-4,2000000,1874725,4.176
ODD,500,0.01,2000000,1831686,3.828
EVEN,500,0.001,2000000,1853751,3.398
EVEN,500,0.01,2000000,1793955,3.652
EVEN,500,0.05,2000000,1775450,3.856
COMPREHENSIVE,500,0.01,2000000,1886438,5.188
COMPREHENSIVE,500,0.001,2000000,1870820,3.974
COMPREHENSIVE,500,1.0E-4,2000000,1754254,3.788
COMPREHENSIVE,500,0.05,2000000,1868926,3.98
ODD,500,0.01,2000000,1783954,3.796
EVEN,500,0.001,2000000,1814627,3.836
EVEN,500,0.01,2000000,1807120,3.766
EVEN,500,0.05,2000000,1872526,4.054
COMPREHENSIVE,500,0.01,2000000,1856057,3.97
COMPREHENSIVE,500,0.05,3000000,2867784,3.162
COMPREHENSIVE,500,0.001,3000000,2691674,3.818
COMPREHENSIVE,500,1.0E-4,2000000,626826,4.042
ODD,500,0.01,2000000,1804255,3.784
EVEN,500,0.01,2000000,1806097,3.774
EVEN,500,0.001,2000000,1913323,4.148
EVEN,500,0.05,2000000,1847551,4.01
COMPREHENSIVE,500,0.01,2000000,1824681,3.774
EVEN,500,0.01,2000000,1853320,3.308
ODD,500,0.01,2000000,1790084,3.81
COMPREHENSIVE,500,1.0E-4,3000000,2446758,3.132
COMPREHENSIVE,500,0.001,3000000,2724580,3.816
COMPREHENSIVE,500,0.05,3000000,2766792,4.092
EVEN,500,0.05,2000000,1790698,3.782
EVEN,500,0.001,3000000,2770919,3.81
COMPREHENSIVE,500,0.01,3000000,2807791,3.798
EVEN,500,0.01,3000000,2856089,3.874
COMPREHENSIVE,500,1.0E-4,3000000,2795971,3.368
ODD,500,0.01,3000000,2786028,3.892
COMPREHENSIVE,500,0.001,3000000,2821795,3.878
COMPREHENSIVE,500,0.05,3000000,2717968,4.004
EVEN,500,0.05,3000000,2720321,3.742
EVEN,500,0.001,3000000,2670880,3.84
COMPREHENSIVE,500,0.01,3000000,2714602,3.854
COMPREHENSIVE,500,1.0E-4,3000000,2726894,3.796
EVEN,500,0.01,3000000,2695334,4.158
ODD,500,0.01,3000000,2702939,3.798
EVEN,500,0.001,3000000,2927849,3.104
COMPREHENSIVE,500,0.001,3000000,2664079,3.834
COMPREHENSIVE,500,0.05,3000000,2770581,4.07
EVEN,500,0.05,3000000,2701526,4.044
COMPREHENSIVE,500,0.01,3000000,2747852,3.896
COMPREHENSIVE,500,1.0E-4,3000000,1327091,3.144
ODD,500,0.01,3000000,2682133,3.772
EVEN,500,0.001,3000000,2885666,3.356
COMPREHENSIVE,500,0.001,3000000,2737462,3.822
COMPREHENSIVE,500,0.05,3000000,2682594,3.808
EVEN,500,0.05,3000000,2751923,3.982
EVEN,500,0.01,3000000,2806130,5.388
COMPREHENSIVE,500,0.01,3000000,138348,3.806
ODD,500,0.01,3000000,2706031,3.784
COMPREHENSIVE,500,1.0E-4,3000000,2770287,4.372
EVEN,500,0.001,3000000,2737137,3.758
COMPREHENSIVE,1000,0.001,1000000,906500,3.783
COMPREHENSIVE,1000,0.05,1000000,898868,3.826
EVEN,500,0.05,3000000,2741558,4.17
EVEN,500,0.01,3000000,2753410,4.124
COMPREHENSIVE,500,0.01,3000000,2690208,4.034
EVEN,1000,0.001,1000000,909973,3.174
ODD,500,0.01,3000000,2665786,4.766
EVEN,500,0.05,3000000,2725325,3.99
EVEN,500,0.01,3000000,2724154,3.62
COMPREHENSIVE,1000,0.001,1000000,902097,3.78
COMPREHENSIVE,1000,0.05,1000000,900746,3.8
COMPREHENSIVE,1000,1.0E-4,1000000,891230,7.426
COMPREHENSIVE,1000,0.01,1000000,877633,4.188
ODD,1000,0.01,1000000,924414,3.786
EVEN,1000,0.001,1000000,910516,3.787
COMPREHENSIVE,1000,0.05,1000000,929192,3.798
COMPREHENSIVE,1000,0.001,1000000,909830,3.801
EVEN,1000,0.05,1000000,929447,3.984
EVEN,1000,0.01,1000000,913140,4.216
COMPREHENSIVE,1000,1.0E-4,1000000,926442,3.526
ODD,1000,0.01,1000000,930796,3.195
COMPREHENSIVE,1000,0.01,1000000,910074,3.803
EVEN,1000,0.001,1000000,907066,3.768
EVEN,1000,0.01,1000000,911240,3.322
COMPREHENSIVE,1000,0.05,1000000,899121,3.791
COMPREHENSIVE,1000,0.001,1000000,895189,4.247
EVEN,1000,0.05,1000000,919023,4.196
COMPREHENSIVE,1000,1.0E-4,1000000,933759,3.913
ODD,1000,0.01,1000000,897013,3.787
COMPREHENSIVE,1000,0.01,1000000,913711,3.801
EVEN,1000,0.001,1000000,927827,4.092
COMPREHENSIVE,1000,0.05,1000000,908586,3.825
EVEN,1000,0.01,1000000,922865,4.189
COMPREHENSIVE,1000,0.001,1000000,909637,3.789
EVEN,1000,0.05,1000000,912900,3.815
COMPREHENSIVE,1000,1.0E-4,1000000,898341,4.122
ODD,1000,0.01,1000000,901403,3.781
COMPREHENSIVE,1000,0.01,1000000,901013,3.896
EVEN,1000,0.001,1000000,911210,3.792
COMPREHENSIVE,1000,0.05,2000000,1806743,3.792
EVEN,1000,0.01,1000000,910600,3.803
EVEN,1000,0.05,1000000,905773,3.782
COMPREHENSIVE,1000,1.0E-4,1000000,901309,3.816
COMPREHENSIVE,1000,0.001,2000000,1836589,4.065
ODD,1000,0.01,1000000,916437,4.153
COMPREHENSIVE,1000,0.01,1000000,917818,4.186
EVEN,1000,0.001,2000000,1795107,4.148
EVEN,1000,0.05,1000000,900831,3.772
EVEN,1000,0.01,1000000,918260,4.197
COMPREHENSIVE,1000,0.05,2000000,1856337,4.176
COMPREHENSIVE,1000,0.001,2000000,1817987,3.621
COMPREHENSIVE,1000,1.0E-4,2000000,1901941,3.758
ODD,1000,0.01,2000000,1816156,4.028
COMPREHENSIVE,1000,0.01,2000000,1783397,4.135
COMPREHENSIVE,1000,0.05,2000000,504842,3.297
