time(seconds)	aggregate Attack(Mbps)
0.0	0.0
0.1	9.0
0.2	10.0
0.30000000000000004	18.0
0.4	9.0
0.5	19.0
0.6	10.0
0.7	12.000000000000002
0.7999999999999999	7.0
0.8999999999999999	15.0
0.9999999999999999	9.0
1.0999999999999999	16.0
1.2	16.0
1.3	11.0
1.4000000000000001	13.0
1.5000000000000002	9.0
1.6000000000000003	14.0
1.7000000000000004	15.0
1.8000000000000005	12.000000000000002
1.9000000000000006	17.0
2.0000000000000004	5.0
2.1000000000000005	15.0
2.2000000000000006	9.0
2.3000000000000007	10.0
2.400000000000001	10.0
2.500000000000001	13.0
2.600000000000001	12.000000000000002
2.700000000000001	12.000000000000002
2.800000000000001	13.0
2.9000000000000012	12.000000000000002
3.0000000000000013	10.0
3.1000000000000014	9.0
3.2000000000000015	12.000000000000002
3.3000000000000016	11.0
3.4000000000000017	11.0
3.5000000000000018	13.0
3.600000000000002	11.0
3.700000000000002	16.0
3.800000000000002	18.0
3.900000000000002	7.0
4.000000000000002	13.0
4.100000000000001	15.0
4.200000000000001	15.0
4.300000000000001	8.0
4.4	11.0
4.5	10.0
4.6	11.0
4.699999999999999	10.0
4.799999999999999	9.0
4.899999999999999	10.0
4.999999999999998	16.0
5.099999999999998	10.0
5.1999999999999975	10.0
5.299999999999997	12.000000000000002
5.399999999999997	7.0
5.4999999999999964	14.0
5.599999999999996	8.0
5.699999999999996	13.0
5.799999999999995	11.0
5.899999999999995	11.0
5.999999999999995	13.0
6.099999999999994	12.000000000000002
6.199999999999994	11.0
6.299999999999994	17.0
6.399999999999993	14.0
6.499999999999993	11.0
6.5999999999999925	11.0
6.699999999999992	13.0
6.799999999999992	11.0
6.8999999999999915	13.0
6.999999999999991	11.0
7.099999999999991	12.000000000000002
7.19999999999999	16.0
7.29999999999999	10.0
7.39999999999999	11.0
7.499999999999989	15.0
7.599999999999989	11.0
7.699999999999989	12.000000000000002
7.799999999999988	22.0
7.899999999999988	15.0
7.999999999999988	14.0
8.099999999999987	10.0
8.199999999999987	13.0
8.299999999999986	11.0
8.399999999999986	8.0
8.499999999999986	6.000000000000001
8.599999999999985	12.000000000000002
8.699999999999985	12.000000000000002
8.799999999999985	15.0
8.899999999999984	14.0
8.999999999999984	11.0
9.099999999999984	11.0
9.199999999999983	9.0
9.299999999999983	16.0
9.399999999999983	15.0
9.499999999999982	7.0
9.599999999999982	10.0
9.699999999999982	11.0
9.799999999999981	13.0
9.89999999999998	18.0
9.99999999999998	13.0
10.09999999999998	16.0
10.19999999999998	14.0
10.29999999999998	13.0
10.399999999999979	14.0
10.499999999999979	12.000000000000002
10.599999999999978	12.000000000000002
10.699999999999978	14.0
10.799999999999978	10.0
10.899999999999977	7.0
10.999999999999977	13.0
11.099999999999977	11.0
11.199999999999976	11.0
11.299999999999976	8.0
11.399999999999975	10.0
11.499999999999975	9.0
11.599999999999975	6.000000000000001
11.699999999999974	13.0
11.799999999999974	16.0
11.899999999999974	8.0
11.999999999999973	15.0
12.099999999999973	12.000000000000002
12.199999999999973	10.0
12.299999999999972	17.0
12.399999999999972	9.0
12.499999999999972	9.0
12.599999999999971	8.0
12.69999999999997	9.0
12.79999999999997	18.0
12.89999999999997	9.0
12.99999999999997	14.0
13.09999999999997	14.0
13.199999999999969	9.0
