time(seconds)	aggregate Attack(Mbps)
0.0	0.0
0.1	42.99999999999999
0.2	55.0
0.30000000000000004	48.00000000000001
0.4	52.0
0.5	61.0
0.6	51.0
0.7	42.99999999999999
0.7999999999999999	65.0
0.8999999999999999	49.0
0.9999999999999999	66.0
1.0999999999999999	47.0
1.2	57.0
1.3	58.00000000000001
1.4000000000000001	49.0
1.5000000000000002	41.0
1.6000000000000003	60.0
1.7000000000000004	73.0
1.8000000000000005	59.0
1.9000000000000006	57.0
2.0000000000000004	48.00000000000001
2.1000000000000005	38.0
2.2000000000000006	52.0
2.3000000000000007	58.00000000000001
2.400000000000001	58.00000000000001
2.500000000000001	57.0
2.600000000000001	47.0
2.700000000000001	49.0
2.800000000000001	56.0
2.9000000000000012	54.0
3.0000000000000013	61.0
3.1000000000000014	54.0
3.2000000000000015	54.0
3.3000000000000016	62.0
3.4000000000000017	46.0
3.5000000000000018	51.0
3.600000000000002	65.0
3.700000000000002	56.0
3.800000000000002	59.0
3.900000000000002	56.0
4.000000000000002	62.0
4.100000000000001	42.99999999999999
4.200000000000001	63.00000000000001
4.300000000000001	52.0
4.4	51.0
4.5	56.0
4.6	57.0
4.699999999999999	57.0
4.799999999999999	42.99999999999999
4.899999999999999	52.0
4.999999999999998	65.0
5.099999999999998	50.0
5.1999999999999975	56.0
5.299999999999997	62.0
5.399999999999997	41.0
5.4999999999999964	49.0
5.599999999999996	54.0
5.699999999999996	42.0
5.799999999999995	47.0
5.899999999999995	55.0
5.999999999999995	54.0
6.099999999999994	44.0
6.199999999999994	57.0
6.299999999999994	36.0
6.399999999999993	62.0
6.499999999999993	57.0
6.5999999999999925	52.0
6.699999999999992	68.0
6.799999999999992	54.0
6.8999999999999915	50.0
6.999999999999991	51.0
7.099999999999991	47.0
7.19999999999999	51.0
7.29999999999999	55.0
7.39999999999999	58.00000000000001
7.499999999999989	56.0
7.599999999999989	63.00000000000001
7.699999999999989	48.00000000000001
7.799999999999988	55.0
7.899999999999988	68.0
7.999999999999988	63.00000000000001
8.099999999999987	48.00000000000001
8.199999999999987	56.0
8.299999999999986	55.0
8.399999999999986	54.0
8.499999999999986	71.0
8.599999999999985	68.0
8.699999999999985	39.0
8.799999999999985	42.0
8.899999999999984	60.0
8.999999999999984	57.0
9.099999999999984	52.0
9.199999999999983	48.00000000000001
9.299999999999983	41.0
9.399999999999983	62.0
9.499999999999982	54.0
9.599999999999982	55.0
9.699999999999982	53.00000000000001
9.799999999999981	45.0
9.89999999999998	52.0
9.99999999999998	54.0
10.09999999999998	55.0
10.19999999999998	50.0
10.29999999999998	48.00000000000001
10.399999999999979	62.0
10.499999999999979	39.0
10.599999999999978	44.0
10.699999999999978	57.0
10.799999999999978	49.0
10.899999999999977	56.0
10.999999999999977	48.00000000000001
11.099999999999977	57.0
11.199999999999976	56.0
11.299999999999976	49.0
11.399999999999975	46.0
11.499999999999975	46.0
11.599999999999975	45.0
11.699999999999974	51.0
11.799999999999974	53.00000000000001
11.899999999999974	41.0
11.999999999999973	52.0
12.099999999999973	64.0
12.199999999999973	53.00000000000001
12.299999999999972	54.0
12.399999999999972	56.0
12.499999999999972	51.0
12.599999999999971	54.0
12.69999999999997	52.0
12.79999999999997	53.00000000000001
12.89999999999997	60.0
12.99999999999997	55.0
13.09999999999997	52.0
13.199999999999969	53.00000000000001
13.299999999999969	62.0
13.399999999999968	55.0
13.499999999999968	63.00000000000001
13.599999999999968	36.0
13.699999999999967	54.0
13.799999999999967	62.0
13.899999999999967	67.0
13.999999999999966	54.0
14.099999999999966	52.0
14.199999999999966	53.00000000000001
14.299999999999965	42.99999999999999
14.399999999999965	53.00000000000001
14.499999999999964	66.0
14.599999999999964	65.0
14.699999999999964	50.0
14.799999999999963	48.00000000000001
14.899999999999963	62.0
14.999999999999963	48.00000000000001
15.099999999999962	51.0
15.199999999999962	59.0
15.299999999999962	51.0
15.399999999999961	58.00000000000001
15.499999999999961	45.0
15.59999999999996	56.0
15.69999999999996	52.0
15.79999999999996	60.0
15.89999999999996	44.0
15.99999999999996	60.0
16.09999999999996	44.0
16.19999999999996	41.0
16.29999999999996	52.0
16.399999999999963	58.00000000000001
16.499999999999964	55.0
16.599999999999966	47.0
16.699999999999967	51.0
16.79999999999997	65.0
16.89999999999997	56.0
16.99999999999997	57.0
17.099999999999973	52.0
17.199999999999974	56.0
17.299999999999976	49.0
17.399999999999977	56.0
17.49999999999998	67.0
17.59999999999998	45.0
17.69999999999998	55.0
17.799999999999983	46.0
17.899999999999984	63.00000000000001
17.999999999999986	58.00000000000001
18.099999999999987	44.0
18.19999999999999	40.0
18.29999999999999	57.0
18.39999999999999	57.0
18.499999999999993	56.0
18.599999999999994	68.0
18.699999999999996	56.0
18.799999999999997	54.0
18.9	47.0
19.0	53.00000000000001
19.1	61.0
19.200000000000003	58.00000000000001
19.300000000000004	52.0
19.400000000000006	51.0
19.500000000000007	51.0
19.60000000000001	48.00000000000001
19.70000000000001	59.0
19.80000000000001	46.0
19.900000000000013	57.0
20.000000000000014	42.99999999999999
20.100000000000016	48.00000000000001
20.200000000000017	59.0
20.30000000000002	52.0
20.40000000000002	51.0
20.50000000000002	55.0
20.600000000000023	44.0
20.700000000000024	63.00000000000001
20.800000000000026	50.0
20.900000000000027	63.00000000000001
21.00000000000003	40.0
21.10000000000003	68.0
21.20000000000003	47.0
21.300000000000033	42.99999999999999
21.400000000000034	58.00000000000001
21.500000000000036	52.0
21.600000000000037	50.0
21.70000000000004	61.0
21.80000000000004	52.0
21.90000000000004	57.0
22.000000000000043	61.0
22.100000000000044	73.0
22.200000000000045	42.99999999999999
22.300000000000047	68.0
22.40000000000005	60.0
22.50000000000005	62.0
22.60000000000005	47.0
22.700000000000053	51.0
22.800000000000054	52.0
22.900000000000055	53.00000000000001
23.000000000000057	50.0
23.10000000000006	63.00000000000001
23.20000000000006	53.00000000000001
23.30000000000006	56.0
23.400000000000063	58.00000000000001
23.500000000000064	54.0
23.600000000000065	60.0
23.700000000000067	62.0
23.800000000000068	49.0
23.90000000000007	54.0
24.00000000000007	60.0
24.100000000000072	48.00000000000001
24.200000000000074	65.0
24.300000000000075	58.00000000000001
24.400000000000077	54.0
24.500000000000078	56.0
24.60000000000008	53.00000000000001
24.70000000000008	58.00000000000001
24.800000000000082	49.0
24.900000000000084	49.0
25.000000000000085	53.00000000000001
25.100000000000087	50.0
25.200000000000088	45.0
25.30000000000009	52.0
25.40000000000009	60.0
25.500000000000092	50.0
25.600000000000094	45.0
25.700000000000095	46.0
25.800000000000097	51.0
25.900000000000098	53.00000000000001
26.0000000000001	48.00000000000001
26.1000000000001	47.0
26.200000000000102	70.0
26.300000000000104	42.0
26.400000000000105	55.0
26.500000000000107	58.00000000000001
26.600000000000108	58.00000000000001
26.70000000000011	68.0
26.80000000000011	56.0
26.900000000000112	61.0
27.000000000000114	54.0
27.100000000000115	52.0
27.200000000000117	54.0
27.300000000000118	57.0
27.40000000000012	51.0
27.50000000000012	46.0
27.600000000000122	42.99999999999999
27.700000000000124	53.00000000000001
27.800000000000125	52.0
27.900000000000126	50.0
28.000000000000128	57.0
28.10000000000013	61.0
28.20000000000013	57.0
28.300000000000132	53.00000000000001
28.400000000000134	67.0
28.500000000000135	48.00000000000001
28.600000000000136	52.0
28.700000000000138	63.00000000000001
28.80000000000014	58.00000000000001
28.90000000000014	44.0
29.000000000000142	59.0
29.100000000000144	41.0
29.200000000000145	42.99999999999999
29.300000000000146	62.0
29.400000000000148	54.0
29.50000000000015	46.0
29.60000000000015	56.0
29.700000000000152	52.0
29.800000000000153	68.0
29.900000000000155	64.0
30.000000000000156	55.0
30.100000000000158	46.0
30.20000000000016	44.0
30.30000000000016	52.0
30.400000000000162	55.0
30.500000000000163	58.00000000000001
30.600000000000165	45.0
30.700000000000166	52.0
30.800000000000168	46.0
30.90000000000017	49.0
31.00000000000017	48.00000000000001
31.100000000000172	51.0
31.200000000000173	52.0
31.300000000000175	50.0
31.400000000000176	46.0
31.500000000000178	53.00000000000001
31.60000000000018	45.0
31.70000000000018	55.0
31.800000000000182	62.0
31.900000000000183	50.0
32.000000000000185	64.0
32.100000000000186	51.0
32.20000000000019	58.00000000000001
32.30000000000019	47.0
32.40000000000019	77.0
32.50000000000019	52.0
32.60000000000019	56.0
32.700000000000195	55.0
32.800000000000196	54.0
32.9000000000002	60.0
33.0000000000002	65.0
33.1000000000002	48.00000000000001
33.2000000000002	48.00000000000001
33.3000000000002	68.0
33.400000000000205	51.0
33.500000000000206	53.00000000000001
33.60000000000021	46.0
33.70000000000021	58.00000000000001
33.80000000000021	39.0
33.90000000000021	50.0
34.00000000000021	54.0
